"","ticker","date","marcap"
"268","M",2007-12-31,1.0842e+10
"269","JCP",2013-12-31,2787300000
"270","JCP",2012-12-31,4278800000
"271","JCP",2011-12-31,7495500000
"272","JCP",2010-12-31,7726600000
"273","JCP",2009-12-31,6445200000
"274","JCP",2008-12-31,4091100000
"275","JCP",2007-12-31,9603700000
"276","JCP",2006-12-31,1.7469e+10
"277","JCP",2005-12-31,13063900000
"278","JCP",2004-12-31,11013800000
"279","JCP",2003-12-31,7158100000
"280","JCP",2002-12-31,6062200000
"281","JCP",2001-12-31,6885300000
"282","JCP",2000-12-31,3089800000
"283","WMT",2013-12-31,254622900000
"284","WMT",2012-12-31,2.28982e+11
"285","WMT",2011-12-31,2.03436e+11
"286","WMT",2010-12-31,191009700000
"287","WMT",2009-12-31,2.05646e+11
"288","WMT",2008-12-31,217466300000
"289","WMT",2007-12-31,191309700000
"290","WMT",2006-12-31,191770800000
"291","WMT",2005-12-31,199181300000
"292","WMT",2004-12-31,2.25422e+11
"293","WMT",2003-12-31,230562700000
"294","WMT",2002-12-31,223302400000
"295","WMT",2001-12-31,259179700000
"296","WMT",2000-12-31,2.30889e+11
"297","CHTR",2012-12-31,14241200000
"298","CHTR",2011-12-31,7444500000
"299","CHTR",2010-12-31,5999500000
"300","CHTR",2009-12-31,4413500000
"301","CHTR",2007-12-31,45300000
"302","CHTR",2006-12-31,483900000
"303","CHTR",2005-12-31,1293100000
"304","CHTR",2004-12-31,432300000
"305","CHTR",2003-12-31,667600000
"306","CHTR",2002-12-31,1196800000
"307","CHTR",2001-12-31,380200000
"308","CHTR",2000-12-31,4885400000
"309","CHTR",1999-12-31,5287100000
"310","CMCSA",2011-12-31,98292100000
"311","CMCSA",2010-12-31,6.4388e+10
"312","CMCSA",2009-12-31,61940500000
"313","CMCSA",2008-12-31,48843600000
"314","CMCSA",2007-12-31,44319800000
"315","CMCSA",2006-12-31,56638500000
"316","CMCSA",2005-12-31,88864900000
"317","CMCSA",2004-12-31,56828200000
"318","CMCSA",2003-12-31,73256400000
"319","CMCSA",2002-12-31,30264100000
"320","CMCSA",2001-12-31,26882700000
"321","CMCSA",2000-12-31,33648900000
"322","CMCSA",1999-12-31,9.13e+08
"323","TWC",2012-12-31,38196100000
"324","TWC",2011-12-31,29183500000
"325","TWC",2010-12-31,20197800000
"326","TWC",2009-12-31,23295400000
"327","TWC",2008-12-31,14596400000
"328","TWC",2007-12-31,19881900000
"329","TWC",2006-12-31,26652600000
